Store,n,rmspe,rmse,mape,mean_true
602,36.0,0.11557558221446255,695.081874746408,8.24347365628751,6344.388888888889
619,36.0,0.11538713841009765,542.7014215985132,8.377602120714158,4352.361111111111
22,36.0,0.11527866011217285,571.6603635865613,8.95969363682862,4852.055555555556
1016,36.0,0.11524623032767752,591.3183285804135,8.941009984883948,5561.972222222223
1047,36.0,0.11498795505666455,642.5019908726208,9.449933528419354,4870.305555555556
340,36.0,0.1149192893014572,782.0288809970414,9.234767444938214,6811.055555555556
478,36.0,0.11491842931478584,649.1485346223783,8.514437922084108,6744.388888888889
208,36.0,0.1149077322346753,340.70828693365223,9.40834601916152,3117.6944444444443
318,36.0,0.11489685259696479,806.3281864422972,9.179690592336891,7319.5
17,36.0,0.11488497832432851,662.2967601579932,9.243001828817183,5977.694444444444
10,36.0,0.11486928538620114,679.2301321847465,9.38742612395537,5912.75
820,36.0,0.11486125887166382,1370.3666261534681,8.666007657369079,11956.083333333334
690,36.0,0.11484751925944135,601.2603435500031,9.02438325648946,5387.333333333333
732,42.0,0.11484340881062563,949.9589712941487,8.876862526293298,8216.92857142857
812,36.0,0.11461321576350676,549.0453762131945,7.89174817847903,6235.666666666667
901,36.0,0.1145643462644437,814.0480842813938,9.2309116527115,7076.555555555556
126,36.0,0.1144941378020229,566.437571375014,9.164139042971968,5306.861111111111
781,36.0,0.11448996305332478,486.2080236652234,8.901623540129254,4534.444444444444
264,36.0,0.11445070434310281,725.1249811520391,8.885308298482743,6624.916666666667
594,36.0,0.11443589624523176,465.4649270877447,9.419006704691014,4274.777777777777
699,36.0,0.11440007897127775,894.8897353910281,8.36132933214083,7752.277777777777
379,36.0,0.11426974406132155,434.1948145284731,9.235326750249238,4075.5
790,36.0,0.11423946004479439,815.4159259771162,9.00776642544543,7566.916666666667
171,36.0,0.11420230912603183,783.3876016890439,7.587709970557427,7926.75
762,36.0,0.11419839144602567,454.0770334209394,9.428718287045141,4328.388888888889
824,36.0,0.11403889134249812,817.6122535661374,9.149938147550381,7380.638888888889
376,36.0,0.11403464292192823,827.9047546363914,8.486039928680794,8076.472222222223
304,36.0,0.11402746639170795,826.8101586973635,9.213648114951665,6715.75
1050,36.0,0.11401405540340243,770.5236395563908,9.764834847762286,7042.0
481,36.0,0.11398909057869949,589.9461437597171,8.964062026340825,5795.027777777777
832,36.0,0.11398800265913839,710.1934296391844,9.562043174019804,6682.583333333333
558,36.0,0.11396592821637479,370.2029771889618,9.409016041515152,3318.6666666666665
1042,36.0,0.1137187091497772,485.14071531055794,9.459596475794951,3965.9166666666665
411,36.0,0.11367122350575568,977.9792234124814,9.211925872892648,9514.5
294,36.0,0.11359739077897829,627.5224154698776,8.695696200304154,6275.833333333333
593,36.0,0.11357280936558417,974.4552420933601,8.585189080766117,9713.194444444445
714,36.0,0.11354260399862036,583.5369834683448,8.97234454033965,5333.361111111111
121,36.0,0.11353228680792614,464.90741811960913,9.777507824182734,4105.638888888889
