number,value,state,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves
67,0.12847543821993027,COMPLETE,0.8820140264932143,4,0.9571044144922779,0.9823137863484397,0.21943045337247216,0.1408069005832503,12,138,4.207449928583028,338
68,1649.7261013666634,PRUNED,0.7539259789593138,4,0.6385141906468668,1.539602918896488,0.0004714666178485213,0.06772297538544544,14,353,4.681016161613144,310
69,1925.3238268292014,PRUNED,0.658926627162237,7,0.6586948817761868,8.924799471205766,7.958450978645793e-07,0.04763664000106111,12,98,4.0233227120109945,203
70,0.12687441686574058,COMPLETE,0.7324988012724556,4,0.6421102580961805,0.7151924903664626,6.996448162595823e-07,0.1355431861532847,11,72,4.22465143060241,368
71,0.12824163099450078,COMPLETE,0.6720054166353648,4,0.6408219651867496,0.37441716876904285,7.587404570785904e-08,0.1365959920416544,13,81,4.046049364371562,308
72,1412.4257500883205,PRUNED,0.7317774250900895,3,0.6175021229993075,9.381604518367617,5.642383469069837e-05,0.09380383661053583,10,337,4.5385308369785635,329
73,0.12491949364993926,COMPLETE,0.8759101793954976,5,0.6141240624998775,1.768568172099721,2.356710342598991e-06,0.10723092664467211,13,97,2.876815639376347,463
74,0.12950081476197256,COMPLETE,0.9414156435525352,5,0.7525829066979061,3.590089817082706,1.2084395239516396e-07,0.09799663127068424,15,227,2.1868280880228865,438
75,949.8047153533769,PRUNED,0.8325425731739446,4,0.6257140627408063,0.5832752283072415,2.8148283471810372e-05,0.1124559304238446,10,91,3.7835221662025185,200
76,1857.6605762442668,PRUNED,0.875985436035676,6,0.6034911446960217,0.037711469953633524,2.1964850711341736e-06,0.05182205191537264,13,168,3.507766210261802,425
77,1819.156265393462,PRUNED,0.8218294789674251,2,0.9282660898659958,1.3730636205454612,0.18425434858995532,0.05499681202798903,16,1074,3.9290363830287274,304
78,976.9880681614239,PRUNED,0.910876625860144,1,0.6294861375992589,0.019658356580535892,0.00013404171167425647,0.12315599799591788,12,623,2.381290500437327,438
79,0.12622514132878407,COMPLETE,0.8885645299261595,5,0.6026602647174053,5.527422217295674,8.96153469733386e-06,0.11541482083007323,14,227,2.006973990789338,324
80,1376.0623174638931,PRUNED,0.8425110169943835,4,0.701201369873927,0.7448095104843475,4.572973607512242e-06,0.09756334279484441,11,344,1.8682101163469693,445
81,2185.0074500062165,PRUNED,0.9746510095072913,5,0.6281694168575805,8.488177797612801,7.239728466268326e-05,0.03198066561846111,15,230,1.2708647255097132,326
82,981.6683270897518,PRUNED,0.8337221732620248,6,0.6150489703575337,0.5301156249559079,1.4397273617660529e-08,0.13193781406035526,12,459,2.6238330105990237,361
