Store,rmspe_lgbm,rmse_lgbm,mape_lgbm,sales_sum_test,rmspe_prophet,rmse_prophet,mape_prophet
1115,0.12229569976031225,852.270125046971,9.65188567385727,249983.0,0.12734766249846755,892.6051881403282,10.263753816531148
40,0.12236751616854405,506.05223596825107,8.281557630935582,157511.0,0.15362143048368385,597.1916727514567,10.525217630252683
479,0.1224350111364323,1077.209190341855,8.331680147963715,408225.0,0.1246676386248424,1380.2181125335408,9.541967893843387
97,0.12243714377434106,812.9861427971894,8.953048391207593,247048.0,0.12489559006658305,870.9194917266102,9.217193741164008
56,0.12252122305508563,951.3639714647588,9.605631842317523,299555.0,0.10773240921102316,828.5613582933709,8.231724521206923
1043,0.12257586406834561,908.3642354160588,9.326502399132048,290409.0,0.13186170000806557,1016.5725193713016,10.013973705310447
655,0.12260205273253622,955.8744226472425,9.207028804530712,303890.0,0.19291508118451414,1421.560696895618,15.627012113877711
584,0.1226253973506586,585.0262458889854,10.10323216840116,177304.0,0.13201546376112652,578.6035298232786,10.302589660029703
1062,0.12288449986700806,665.6248436483993,9.608209897152827,222701.0,0.12647532896357844,742.1005279404523,10.288651589970938
749,0.12293674448679492,612.6626782470763,10.439413063726258,166575.0,0.14696821191957854,760.103777582029,12.741695582397389
50,0.12298734400276604,508.66058338690027,9.255834339252228,161849.0,0.1735991738163851,694.8139432308025,13.152822275716138
527,0.12302982482930706,1243.8994731851883,9.490249264833857,386033.0,0.17221937154770472,1679.7008878647343,12.910349016547325
226,0.12310405286695264,765.6350204776517,9.395365885419778,239868.0,0.14143618116559564,899.8164174670577,11.250020474638177
351,0.12312904172192411,683.5110384256124,8.845995818905239,219190.0,0.13098978570924885,697.9633769073597,9.821908300419208
47,0.12317286207172569,856.245844969978,9.105002848546967,260721.0,0.14630851458074973,1163.6523655551816,11.994035492639622
380,0.12318013020277879,1467.6240296547646,8.19084376556542,496005.0,0.13940548566819783,1619.3881732421237,9.466984568126808
603,0.12323805152016931,784.3963539983804,8.160064052671572,257258.0,0.16823662563688074,1236.2697480107834,13.115553706005345
1066,0.12337872067617023,1155.0567903345138,8.605795794700507,341491.0,0.2415341189821233,2096.2831358107555,20.842801173736078
1095,0.12341818082292093,587.0120332583515,9.50124932134466,166852.0,0.13656496383928282,665.6504500603405,10.83327533361776
