Store,n,rmspe_lgbm,rmse_lgbm,mape_lgbm,mean_true
21,36.0,0.1295076096227988,730.92274146082,9.869698620608796,5812.722222222223
551,36.0,0.1294575305881859,1025.7587992538931,10.369794703762285,6687.888888888889
823,36.0,0.1293442750253663,610.7029827817719,8.81307448135683,5992.305555555556
830,36.0,0.1292883512883234,775.3004292370359,9.645269440533788,6327.305555555556
890,36.0,0.1292498518100696,782.5190719961885,10.516819670858611,6354.138888888889
433,42.0,0.1292189793391683,631.8466666385193,9.267099267093332,5585.571428571428
425,36.0,0.1291877452695045,418.6714206125176,10.452847992254762,3162.6944444444443
931,42.0,0.1291673451011362,615.8864931534386,10.097923090985615,4614.238095238095
803,36.0,0.1290480227166216,680.8379077305398,9.932658580740538,5706.055555555556
392,36.0,0.1290426095831378,862.4434237178745,10.055450188743158,6950.361111111111
1105,36.0,0.1290029685430818,621.8679797536937,9.522806043383108,5080.833333333333
96,36.0,0.1287494611058796,660.0464250202292,10.120428869748917,5209.416666666667
644,36.0,0.1287129604382045,1062.2345941885844,9.633492537144498,9011.944444444443
925,36.0,0.1287069010018544,905.5391826283984,9.33432221948726,7247.638888888889
1030,36.0,0.1286241115658434,428.49573331987574,9.683056160159968,3596.1944444444443
78,36.0,0.1286203640657366,424.05567645375686,10.196434706731171,3703.5833333333335
985,36.0,0.1285242608296285,1031.3145422537457,9.92557198487544,8563.611111111111
368,36.0,0.1284480610383736,1071.009934562038,9.141369764266278,10049.305555555557
505,36.0,0.1284104523785725,624.9140555865229,10.055978562180968,4747.25
614,36.0,0.1282496244162913,837.1072670071321,10.507045541599664,6625.388888888889
164,36.0,0.1280270095929919,802.1173505679973,9.655186293107349,6568.111111111111
978,36.0,0.127826179090844,821.8523701052659,10.385304945577284,7250.972222222223
88,36.0,0.1278203354765718,527.947523243105,8.997851195303838,6056.472222222223
1048,36.0,0.1277915987005708,953.9035286285892,9.870644565574828,7454.333333333333
463,36.0,0.1275041138495286,628.8843619600736,9.699538803679882,5830.527777777777
30,36.0,0.1274637508346151,487.61840777125025,9.795448016254689,3994.694444444444
53,36.0,0.1274114566185975,532.3473468454789,8.368714746094371,5409.25
458,36.0,0.1273809527173087,961.3404606555966,10.610180624441991,7802.972222222223
188,36.0,0.1272905340090057,730.9198219802213,10.922958638423834,5537.555555555556
57,36.0,0.1271387323018337,964.3515014238732,9.837937920602148,8705.694444444445
572,36.0,0.1270901017341211,819.7582297710171,8.911373733062216,6799.527777777777
285,36.0,0.1269325671927293,722.0728877020654,10.339453501338294,5536.694444444444
661,36.0,0.1268427204335866,893.6475179608602,9.640791539766678,7186.194444444444
608,36.0,0.1267464692778441,1085.4014389789818,9.409180431632535,9351.833333333334
816,36.0,0.1267129386922855,531.4540675688918,9.506273276007386,4603.833333333333
399,36.0,0.1266133426298605,748.7746631241969,10.34346617341953,5944.305555555556
976,36.0,0.1265836760336397,761.161386228051,8.82681782539236,6711.5
1113,36.0,0.1265449894939709,758.5217896187658,9.763232080973076,6564.25
200,36.0,0.1262771707505099,881.0569399155463,9.342006055403706,7557.75
424,36.0,0.1262429947410283,952.7709898098212,9.591105490979452,7266.111111111111
488,36.0,0.1262333090367825,433.4458644711187,9.322854775113372,3727.1388888888887
92,36.0,0.1261700827659443,691.2335487842871,9.350071972628662,6267.972222222223
537,36.0,0.1261450770553014,789.3042624738154,9.916200185817916,6094.722222222223
611,36.0,0.1261091004710134,728.5954219291247,9.94178470940463,6051.916666666667
377,36.0,0.1259499930609542,990.2326089060462,8.595107326829988,8379.027777777777
247,36.0,0.1258326739799094,912.8722163415936,9.633532201545778,8101.222222222223
19,36.0,0.1257754913591905,729.0837691484944,9.923467070619758,6589.527777777777
865,36.0,0.1257396964139351,968.7922374835372,10.22833108533662,7925.555555555556
387,36.0,0.12571627338038,952.303147819232,8.669619079613488,9300.5
833,36.0,0.1255932463735602,550.3945925232318,8.967238529426293,5329.388888888889
441,36.0,0.1255759166802572,780.7450404327983,9.138939096202888,6471.027777777777
1078,36.0,0.1255670799858058,848.1291935713516,9.820608582208369,7524.416666666667
1045,42.0,0.125294851859025,1075.7495514134496,10.176535171672649,8943.52380952381
570,36.0,0.1252737549298164,459.2761117832936,9.4392161191098,3923.3888888888887
