Store,rmspe_lgbm,rmspe_prophet,rmse_lgbm,rmse_prophet,mape_lgbm,mape_prophet,winner
1075,0.076635574464194,0.0724219111533034,862.4142746979452,819.2323018883882,6.285879974837921,5.7571362774471755,prophet
207,0.0767173035806721,0.1086303648440673,856.7514277861513,1254.4172888414182,5.982130938596566,8.551989952819367,lgbm
958,0.0768489696750939,0.0885410504575201,313.02319592600014,344.96788203912604,6.1986384116786395,7.344446247249059,lgbm
849,0.0768868782436227,0.0972136041750222,650.6338495531948,839.5835462140656,6.585756925729334,8.057890475290737,lgbm
498,0.076997952916311,0.073305391315833,551.7838357522687,546.8299803198101,6.270074390544328,6.065397263354591,prophet
159,0.0773001499491772,0.111176620834305,564.5419865191338,818.5609431402044,6.215470772067449,9.146225090459652,lgbm
116,0.0774921280786686,0.0725470895441772,537.3798058311096,495.4940967662145,6.073353623720639,5.323913161471021,prophet
245,0.0781769430538584,0.068366128474529,774.5706736110782,663.6808534096674,6.760698660251078,5.439400898794563,prophet
632,0.0782529259017072,0.1014643257753393,620.0164735091549,761.1733970778046,6.443145413966652,8.147833358698014,lgbm
396,0.0787804361546086,0.128191545687615,696.765456479235,1324.2239298805484,5.7580749661802235,10.365048597671173,lgbm
335,0.0789683550540264,0.1163165193056346,835.9267835726633,1162.1770403759422,5.6357134443131205,7.751894965956198,lgbm
583,0.0791930199555946,0.1045730013221464,340.55251122346954,421.39259893186255,6.426772716737908,8.743693273172685,lgbm
802,0.0793098731669096,0.1005538438595462,525.2018525866466,730.2082286839467,6.45334735030272,8.424164715093777,lgbm
469,0.0795432199384032,0.1275342658176137,887.5680777791232,1716.7811374548044,6.671013531163056,10.376707609366193,lgbm
163,0.0795764006587681,0.0955669423182678,525.7571832306229,646.9125433555331,6.400904763213558,8.18678513600129,lgbm
332,0.0796583079431844,0.1106677015986028,296.31794574870554,399.1597012329904,6.3611275446473545,8.891447127960987,lgbm
301,0.0796889140225285,0.0893564811933771,431.9510667362826,456.9496197836758,6.420341571261051,7.1071102749235004,lgbm
381,0.0798063285929909,0.0868651974314882,637.0089265844379,751.7263619857666,6.1687919007434,6.862941089307327,lgbm
704,0.0801020122982082,0.0870073503557205,860.2591553839923,966.8940016679207,6.397144011281478,7.346107596320353,lgbm
416,0.0801653811708412,0.0889543054829522,910.9002499448628,1029.1531329785182,6.628214755861099,6.309165690794312,lgbm
1021,0.0801737925360855,0.0895288228333557,782.1316055563883,928.581016077312,6.208326281613674,6.927414570220179,lgbm
342,0.0802577026852938,0.1297371647590926,884.5668782156544,1367.3824600930168,6.117035219368308,10.311985484279653,lgbm
853,0.0803582121820029,0.0961881280797282,760.1154592698599,907.129655848542,6.6006350394646764,8.332768611295755,lgbm
774,0.0804409238043919,0.0968915319059234,475.3477500268096,586.7046124878801,6.719649461496717,8.290830992091387,lgbm
311,0.0807492525265338,0.0924561198548917,572.6111935464249,700.2505635352612,6.506129147782409,6.9166137776014756,lgbm
938,0.0810199719263551,0.0969668670035949,775.2999152270703,940.7767591811026,6.972318925539995,7.667091762907235,lgbm
856,0.0813124408176816,0.0956728556796325,587.5703108137008,741.1668901054582,6.4403554803994245,7.691881834829944,lgbm
880,0.0814158273263791,0.0899798383674559,709.5722884985856,788.0835297960118,6.702020162389792,7.441304274805642,lgbm
923,0.0816269774282179,0.0754009297870148,406.749747478832,399.5574952065827,6.023020758681422,6.183835201376954,prophet
388,0.0817635089219744,0.1404056374027435,785.9715306376962,1268.6190569188411,6.348558557008784,11.207446446595126,lgbm
160,0.0820920175940822,0.1050298650883527,435.4079187294925,565.1559152536828,6.28871260897861,8.688411407183409,lgbm
